Record_ID,Complaint_ID,Date_Received,Received_Year,Product_Name,Product,Issue,Company,State_Name,Portals,Company_Response_to_Consumer,Timely_Response
1,455673,7/22/2013,2013,Credit card,Not Specified,Other,Synchrony Financial,TX,Web,Closed with explanation,Yes
2,458850,7/22/2013,2013,Credit reporting,Not Specified,Credit reporting company's investigation,Experian,CO,Web,Closed with non-monetary relief,Yes
3,458998,7/22/2013,2013,Bank account or service,Other bank product/service,Problems caused by my funds being low,"Citizens Financial Group, Inc.",NY,Web,Closed with monetary relief,Yes
4,463274,7/22/2013,2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",American Southwest Mortgage Corporation,TX,Web,Closed,Yes
5,463295,7/22/2013,2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,OH,Web,Closed with explanation,Yes
6,463325,7/22/2013,2013,Bank account or service,Checking account,Deposits and withdrawals,Citibank,CA,Phone,Closed with monetary relief,Yes
7,463344,7/22/2013,2013,Consumer Loan,Vehicle loan,Managing the loan or lease,Bank of the West,CA,Web,Closed with monetary relief,Yes
8,463345,7/22/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,Equifax,NY,Web,Closed with explanation,Yes
9,463408,7/22/2013,2013,Student loan,Non-federal student loan,Problems when you are unable to pay,JPMorgan Chase & Co.,CO,Web,Closed with explanation,Yes
10,463413,7/22/2013,2013,Debt collection,Non-federal student loan,Disclosure verification of debt,"Expert Global Solutions, Inc.",KS,Web,Closed with explanation,Yes
11,463452,7/22/2013,2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",Ditech Financial LLC,IL,Web,Closed with explanation,Yes
12,463464,7/22/2013,2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",Nationstar Mortgage,VA,Web,Closed with explanation,Yes
13,463491,7/22/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,Equifax,CA,Web,Closed with non-monetary relief,Yes
14,463496,7/22/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",CA,Web,Closed with explanation,Yes
